GODKJENT,GODKJENNINGSNUMMER,PRODUKSJONSFORMER,VIRKSOMHETSNAVN,BEDRIFTSNR,ADRESSE,POSTNR,POSTSTED,TELEFON,TELEFAX,KOMMUNENR,KOMMUNE,FYLKENR,FYLKE
,NO18052188,N,FUGLENES GÅRD AS,985577129,Murtnesveien 127,1892,DEGERNES,,,3120,Rakkestad,31,Østfold
,NO11050579,Q,FÅVANG BILENE AS,974282720,Stasjonsvegen 1 ,2634,FÅVANG,,,3439,Ringebu,34,Innlandet
A,NO10050192,DEKNO,G. O. JOHNSEN AS,971716045,Bankplassen 1A,0151,OSLO,,,0301,Oslo kommune,03,Oslo
,NO11050648,P,GAC NORWAY AS AVD TJELDBERGODDEN,987784652,Hjortåsvegen,6699,KJØRSVIKBUGEN,,,1576,Aure,15,Møre og Romsdal
,NO11050719,Q,GALÅEN TRANSPORT AS,971692294,Havsjøveien 309,7374,RØROS,72 41 30 16,72 41 30 66,5025,Røros,50,Trøndelag
,NO13051151,R,GAMKINN LANDBRUK V/ JENS PETTER GAMKINN,975407101,Gamkinnvegen 8A,2750,GRAN,,jgamkinn@gmail.com,3446,Gran,34,Innlandet
,NO12050848,M,GANSDALEN INNKJØPSLAG SA,972450790,Svindalveien 81,1903,GAN,,,3205,Lillestrøm,32,Akershus
,NO26054309,Q,GAUTE LUNDE TRANSPORT AS,885450512,Heigreveien 465,4312,SANDNES,,,1108,Sandnes,11,Rogaland
A,NO11050443,DNO,GC RIEBER MINERALS AS AVD OSLO,980243583,Skur 86 Sjursøya,0193,OSLO,,,0301,Oslo kommune,03,Oslo
,NO21053313,DNO,GC RIEBER MINERALS AS AVD OSLO,980243583,Kristen Staksnæs vei 61,4810,EYDEHAVN,,,0301,Oslo kommune,03,Oslo
,NO25054220,N,GC RIEBER MINERALS AS AVD TRONDHEIM,986322132,Nedre Ila 30,7018,TRONDHEIM,73 50 30 12,73 50 30 13,5001,Trondheim,50,Trøndelag
,NO17051778,I,GC RIEBER VIVOMEGA AS,995672472,Teistholmsundet 6,6512,KRISTIANSUND N,,,1505,Kristiansund,15,Møre og Romsdal
,NO15051492,J,GEIR BÆRHEIM,973858556,Vikevegen 1895,5568,VIKEBYGD,,,1160,Vindafjord,11,Rogaland
,NO23053560,Q,Geir Einar Tjora,972610275,Raffinerivegen 5,4055,SOLA,,,1124,Sola,11,Rogaland
,NO26054288,Q,GEIR LILLEVIK TRANSPORT,932658585,Longsetvegen 2,8704,NESNASTRANDA,,,1828,Nesna,18,Nordland
,NO13051059,Q,GEIR OVE HOLEN AS,989018469,Vangsnesvegen 758,6894,VANGSNES,,,4639,Vik,46,Vestland
,NO12050984,M,GJERDRUM INNKJØPSLAG,873249722,Gauterud 9,2022,GJERDRUM,,,3230,Gjerdrum,32,Akershus
,NO12050857,KMNOQ,GJESTI OLAF & SØNN AS,971693827,Bråteveien 190A,2013,SKJETTEN,,,3205,Lillestrøm,32,Akershus
,NO12050857,KMNOQ,GJESTI OLAF & SØNN AS,971693827,Økern Torgvei 13,0580,OSLO,,,3205,Lillestrøm,32,Akershus
,NO14051368,N,GJETEREN AS,971693851,Lyseveien 8,3531,KROKKLEIVA,,,3310,Hole,33,Buskerud
,NO15051437,H,GJØLSTAD GÅRD AS,915426018,Vestre Solørveg 880,2219,BRANDVAL,,,3401,Kongsvinger,34,Innlandet
,NO13051139,M,GJØVIK HEST OG HUND AS,981098617,Alf Engelstads veg 5,2827,HUNNDALEN,61109940,,3407,Gjøvik,34,Innlandet
,NO12050844,H,GLÆRUM KALKSTEINGRUVE A/S,972273252,GLÆRUM,6650,SURNADAL,,,0301,Oslo kommune,03,Oslo
,NO19052923,I,GO'BAKSTEN GEIR JANSEN,999092160,Haukelivegen 981,5590,ETNE,,,4611,Etne,46,Vestland
,NO18052193,N,GODKALVEN AS,911894963,Flassamyrveien 265,4332,FIGGJO,,,1108,Sandnes,11,Rogaland
,NO14051416,I,GODT BRØD NYDALEN AS,990191069,Nydalsveien 33,0484,OSLO,,,0301,Oslo kommune,03,Oslo
,NO14051415,I,GODT BRØD THERESESGATE AS,987961597,Thereses gate 33,0168,Oslo,,,0301,Oslo kommune,03,Oslo
,NO13051002,I,GOL BAKERI & KONDITORI AS AVD BAKERI,973136526,Sentrumsvegen 11,3550,GOL,32 02 96 50,32 02 96 65,3324,Gol,33,Buskerud
,NO11050619,I,GOMAN AS AVD HØNEFOSS,974100029,Gullagata 3,3513,HØNEFOSS,,,3305,Ringerike,33,Buskerud
,NO11050620,I,GOMAN AS AVD JÆREN,971686391,Flådene 9,4332,FIGGJO,,,1108,Sandnes,11,Rogaland
,NO20053167,N,GOMAN AS AVD NORDLAND,971690771,Lagerveien 3,8208,FAUSKE,,,1841,Fauske,18,Nordland
,NO11050707,I,GOMAN AS AVD NORDVEST,971801379,null,6280,SØVIK,,,1580,Haram,15,Møre og Romsdal
,NO11050623,I,GOMAN AS AVD SØRLANDET,975985350,Rigedalen 42,4626,KRISTIANSAND S,,,4204,Kristiansand,42,Agder
,NO11050621,I,GOMAN AS AVD TRONDHEIM,973173758,Haakon Vii's gate 9,7041,TRONDHEIM,,,5001,Trondheim,50,Trøndelag
,NO21053303,N,GOMAN AS AVD VEST,926069187,Salhusvegen 52,5131,NYBORG,,,4601,Bergen,46,Vestland
,NO11050618,I,GOMAN AS AVD ØSTFOLD,973075012,SVANEVEIEN 15,1661,ROLVSØY,,,3107,Fredrikstad,31,Østfold
,NO19052821,I,GOMAN KJELSTAD AS,974088541,Mjøsvegen 1139,2848,SKREIA,,,3442,Østre Toten,34,Innlandet
,NO24053672,J,GOURMETDOGBAKERI AS,933331288,Rostockgata 74,0194,OSLO,,,0301,Oslo kommune,03,Oslo
,NO18052273,N,GRAM DRIFT,978260683,Kjendli,2838,SNERTINGDAL,,,3407,Gjøvik,34,Innlandet
,NO16051625,I,GRANS BRYGGERI AS,973237675,Hegnasletta 4,3217,SANDEFJORD,33 48 25 00,33 48 25 25,3907,Sandefjord,39,Vestfold
,NO26054265,Q,GREENCARRIER LINER AGENCY NORWAY AS,972090557,Alf Bjerckes vei 20,0582,OSLO,,,0301,Oslo kommune,03,Oslo
,NO20053054,N,GREENFIELDS NORDIC AS,924712511,Port Arthur 1,7014,TRONDHEIM,,,5001,Trondheim,50,Trøndelag
,NO22053397,I,GREENITIVES NORWAY AS,924298294,Serklauvvegen 120,5440,MOSTERHAMN,,,4613,Bømlo,46,Vestland
,NO20053104,J,GRETE RUDEN,978493580,Nordre Kverner,2040,KLØFTA,,,3209,Ullensaker,32,Akershus
,NO18052409,O,GRO LANGVASBRÅTEN,,Fjellsveien 115,3035,DRAMMEN,,,,,,
,NO11050679,Q,GRUDE TRANSPORT AS,979467834,Grudevegen 173,4352,KLEPPE,51 42 13 46,51 42 24 65,1120,Klepp,11,Rogaland
,NO18052195,N,GRYTE SAMDRIFT DA,980533034,c/o Ane Grythe,2651,ØSTRE GAUSDAL,,,3441,Gausdal,34,Innlandet
,NO18052196,NO,GRØNSTAD ANDERS,973393375,Haukelivegen 1049,5590,ETNE,,,4611,Etne,46,Vestland
,NO19052835,I,GRØNT PARTNER AS,989449621,Hegdalveien 73,3261,LARVIK,33 11 31 96,,3909,Larvik,39,Vestfold
,NO13051055,Q,GS BULKTRANSPORT AS,971921129,Gjellebekkstubben 29,3420,LIERSKOGEN,,,3312,Lier,33,Buskerud
,NO18052098,N,GUNNAR HUNDSNES,991577912,Eikveien 24,4462,HOVSHERAD,,,1112,Lund,11,Rogaland
,NO17051786,R,GUNNAR MATHSEN,978238807,c/o SKUGSTAD VESTRE,1925,BLAKER,,,3205,Lillestrøm,32,Akershus
,NO10050065,P,Guttelvik Næringspark AS Fôrlager,986810730,Herfjordveien 42,7177,REVSNES,,,5058,Åfjord,50,Trøndelag
,NO15051473,I,HAANDBRYGGERIET AS,972207462,Havnegata 13,3040,DRAMMEN,31414140,31414138,3301,Drammen,33,Buskerud
,NO13051065,Q,Haavi Transport DA,915910580,Blikseth,2850,Lena,,,3442,Østre Toten,34,Innlandet
,NO19052829,O,HA-BE AS,918303561,c/o Nicolai Nese Hagelien,1387,ASKER,,,3203,Asker,32,Akershus
,NO18052259,N,HAFLINGERHOFF FYRESDAL DA,988414743,Håsomgrenda 13,3870,FYRESDAL,,,4032,Fyresdal,40,Telemark
,NO13051037,M,HAGIA KARMØY AS,987308230,Bønesvegen 70,4260,TORVASTAD,,,1149,Karmøy,11,Rogaland
,NO26054282,Q,HAGLAND BULK SHIPPING AS,980119408,Smedasundet 97,5525,HAUGESUND,,,1106,Haugesund,11,Rogaland
,NO26054281,Q,HAGLAND BULK TRANSPORT KS,888740392,Smedasundet 97,5525,HAUGESUND,,,1106,Haugesund,11,Rogaland
,NO13051009,M,HALI PET DRIFT AS AVD. LILLEHAMMER STORGATA,972005983,Storgata 148,2615,LILLEHAMMER,,,3405,Lillehammer,34,Innlandet
,NO18052571,N,"HALLINGSERVICE, OVE RYGG",978052207,Hemsedalsvegen 372,3550,GOL,,,3324,Gol,33,Buskerud
,NO12050889,Q,HALSAN TERJE AS,971698918,Garasjeveien 5,8160,GLOMFJORD,48274827,,1837,Meløy,18,Nordland
,NO21053206,N,HAMSTAD BAKERI AS,973075969,Pinavegen 12,7800,NAMSOS,,,5007,Namsos,50,Trøndelag
,NO18052494,M,HANDLER & OT PRODUCTS AS,912316815,Mussugata 10,7234,LER,72 87 72 00,,5028,Melhus,50,Trøndelag
,NO10050358,R,HANNE FOUGNER,978957234,Postboks 10,2838,Snertingdal,,,3407,Gjøvik,34,Innlandet
,NO11050436,Q,HANS LERUM EFTF ARNE LERUM,973225332,Dalsdalen 10,6872,LUSTER,57 68 54 30,57 68 54 30,4644,Luster,46,Vestland
,NO12050900,N,HANS OLAF SANDVOLD,973551434,kongsveien 21,2500,TYNSET,,,3427,Tynset,34,Innlandet
,NO14051175,R,HANS TØGER HOLMSEN,875898582,Mysenveien 392,1890,RAKKESTAD,,,3120,Rakkestad,31,Østfold
,NO19052912,I,HANSA BORG AS AVD BORG,973071173,Per Gyntveien 4,1709,SARPSBORG,69 12 62 00,69 12 63 44,3105,Sarpsborg,31,Østfold
,NO16051712,I,HANSA BORG AS AVD KRISTIANSAND,973136224,Barstølveien 28B,4636,KRISTIANSAND S,,,4204,Kristiansand,42,Agder
,NO11050483,M,HARALD MICHAEL BIRKELAND,,Ormen Langes vei 4,7441,TRONDHEIM,,,,,,
,NO10050251,NR,HARALD MJØLNERØD,976132955,Molkersrød,1763,HALDEN,,,3101,Halden,31,Østfold
,NO18052258,NR,HARALD MJØLNERØD,976132955,Mjølnerødveien 8,1763,HALDEN,,,3101,Halden,31,Østfold
,NO10050219,MN,HARLEM FOOD AS,973327593,Skøyenveien 18,0375,OSLO,21004200,,0301,Oslo kommune,03,Oslo
,NO13051030,Q,HATTERUD MASKIN AS,984075030,Rudsflata 1C,2360,RUDSHØGDA,,,3411,Ringsaker,34,Innlandet
,NO11050615,Q,HAUGER ARILD,972883166,Glendeveien 27,1820,Spydeberg,,,3118,Indre Østfold,31,Østfold
,NO19052994,I,HAUGES BAKERI AS,989272624,Åkravegen 220,4270,ÅKREHAMN,52 81 56 50,52 81 56 02,1149,Karmøy,11,Rogaland
,NO18052210,N,HAUGLAND BONDEGÅRD MALENE LEKVEN JOHNSEN,916562101,Hauglandsvegen 141,5265,YTRE ARNA,,,4601,Bergen,46,Vestland
,NO18051988,N,HAUGLAND GÅRD,999333184,Hauglandsvegen 1,5265,YTRE ARNA,,,4601,Bergen,46,Vestland
,NO18052203,O,HAUGLAND GÅRD & HAGE,991071326,Kjørmoveien 103,4462,HOVSHERAD,,,1112,Lund,11,Rogaland
,NO12050850,I,Haugli bakeri produksjon AS,972182613,Rennesøygata 10,5537,HAUGESUND,,,1106,Haugesund,11,Rogaland
,NO18051990,N,HAUKE LUTHER,912327523,Toresplassveien 50,3538,SOLLIHØGDA,,,3310,Hole,33,Buskerud
,NO20053095,R,HAVLAND AS,925507504,Gaddholmvegen 204,6913,FLORØ,,,4602,Kinn,46,Vestland
A,NO15051491,CP,HBC BERKÅK AS,899098382,Postmyrveien 20,7391,Rennebu,,,5022,Rennebu,50,Trøndelag
,NO15051487,M,HCPET AS,915793231,Svarthyllveien 1,4314,SANDNES,,,1108,Sandnes,11,Rogaland
,NO18052626,N,Hege Gustavsson,978196314,Kankrud,2652,SVINGVOLL,,,3441,Gausdal,34,Innlandet
,NO19052827,O,HEIMER AS,972397407,Hveemsvegen 76,2850,LENA,,,3442,Østre Toten,34,Innlandet
,NO13051042,Q,HELGE R OLSEN & SØNN AS AVD OSLO,971832649,Verkseier Furulunds vei 5,0668,OSLO,,,0301,Oslo kommune,03,Oslo
,NO15051522,R,HELGE SVEINSVOLL,989532057,Skasvegen 251,4354,VOLL,51 42 71 62,,1120,Klepp,11,Rogaland
,NO10050229,Q,HELGE SVEUM & SØNN ANS,973242563,Tangenvegen 469,2335,STANGE,62 57 17 09,,3413,Stange,34,Innlandet
,NO22053456,KLO,HELM SKANDINAVIEN NUF,912001458,Ytre Strandvei 2,3770,KRAGERØ,,,4014,Kragerø,40,Telemark
,NO25054223,KLN,HELSEHEST AS,927260204,Dr. Høsts vei 40,1346,GJETTUM,,,3201,Bærum,32,Akershus
,NO11050644,I,HENNIG-OLSEN IS AS AVD KRISTIANSAND,873147512,Vesterveien 51 Hannevika,4613,KRISTIANSAND S,38 00 11 00,38 01 33 10,4204,Kristiansand,42,Agder
,NO18052186,M,HENRIK BUHOLT SOLBAKKEN,,Dragonvegen 19,2335,STANGE,,,,,,
,NO18052179,N,HENRIKSEN & HUSEBY DA,991629459,Strømgutua 9,2150,ÅRNES,,,3228,Nes,32,Akershus
,NO11050505,Q,HENRIKSEN SVEIN,971926902,Sollidalveien 78,9309,FINNSNES,,,5530,Senja,55,Troms
,NO18052407,N,HERREBRØDEN GÅRD AS,921257473,Brødenveien 372,1763,HALDEN,,,3101,Halden,31,Østfold
,NO20053077,QU,HERREDSVELA TRANSPORT AS,872028552,Fuglestadvegen 282,4363,BRUSAND,,,1119,Hå,11,Rogaland
,NO18052551,M,HESLE GÅRD HØY & SNEKKERI V/ ARNE BØHLER,972937746,Hesleveien 43,1821,SPYDEBERG,,,3118,Indre Østfold,31,Østfold
,NO18052080,N,HEST- OG FORSERVICE AS,988553069,Disenvegen 32,2160,VORMSUND,,,3228,Nes,32,Akershus
,NO21053176,O,HESTEBEHANDLING/FIRMA MONIE,924794690,Hollenderstien 17,1560,LARKOLLEN,,,3103,Moss,31,Østfold
,NO18052159,N,HESTEKRAFT DA,985763771,Lensbygdavegen 451,2848,SKREIA,,,3442,Østre Toten,34,Innlandet
,NO18052418,N,HESTELIV INNEHAVER GABRIELLE SEVERINSEN,992600578,Øvre Havnås gård,1852,MYSEN,,,3118,Indre Østfold,31,Østfold
,NO15051572,MO,HESTESPORT-CENTERET AS,915670520,Tokkevegen 17,3733,SKIEN,,,4003,Skien,40,Telemark
,NO26054264,Q,HEVOLD SHIPPING AS,971809086,Grønlandsleiret 31,0190,OSLO,,,0301,Oslo kommune,03,Oslo
A,NO11050437,QU,H.I.Berge Transport AS,976798635,Stallabrotet,5640,EIKELANDSOSEN,56 58 16 14,56 58 13 32,4624,Bjørnafjorden,46,Vestland
,NO18052204,N,HILDE JENNINGS,997968573,Marumveien 41,3231,SANDEFJORD,,,3907,Sandefjord,39,Vestfold
,NO13050993,M,HILLS PET NUTRITION NORWAY AS,913225767,Hellenvegen 1,2022,GJERDRUM,,,0301,Oslo kommune,03,Oslo
,NO20053044,I,HJELLES AS  AVD TYSSEBOTNEN,971785683,Storaneset 12,5260,INDRE ARNA,,,4630,Osterøy,46,Vestland
,NO18052250,M,Hjelmås handel,971706457,Leknesvegen 389,5915,HJELMÅS,56 35 30 15,56 35 30 60,4631,Alver,46,Vestland
,NO24053705,I,HJEMMEBAKERIET AS,977356717,Gardermovegen 35,2030,NANNESTAD,63 93 09 00,63 99 54 00,3238,Nannestad,32,Akershus
,NO18051984,J,HOBØL ASVO AS,971637838,Hagen,1827,HOBØL,,,3118,Indre Østfold,31,Østfold
,NO12050870,I,Hoff SA avd Brumunddal,973103997,Gamlegata 1,2380,Brumunddal,61 13 11 00,62 33 42 90,3411,Ringsaker,34,Innlandet
,NO11050504,H,HOFF SA AVD GJØVIK,873624132,Bryggevegen 3,2821,GJØVIK,61 13 11 00,61 13 12 12,3407,Gjøvik,34,Innlandet
,NO17051871,I,HOFF SA AVD JÆREN,973624091,Lalandsvegen 21,4353,KLEPP STASJON,51 78 63 00,51786301,1120,Klepp,11,Rogaland
,NO23053485,I,HOFF SA AVD SUNDNES,973624113,Risan 6,7670,INDERØY,61 13 11 00,74 15 36 08,5053,Inderøy,50,Trøndelag
,NO22053430,H,HOFSETH AQUA AVD 31 SLAKTERI ÅLESUND,930296473,Fjordgata 52,6005,ÅLESUND,,,1508,Ålesund,15,Møre og Romsdal
,NO11050720,IP,HOFSETH BIOCARE ASA AVD MIDSUND,996267911,Ellingsøyvegen 880,6057,ELLINGSØY,71278850,,1506,Molde,15,Møre og Romsdal
,NO11050720,IP,HOFSETH BIOCARE ASA AVD MIDSUND,996267911,Stormyrvegen 52,6475,MIDSUND,71278850,,1506,Molde,15,Møre og Romsdal
,NO23053620,N,HOFSETH BIOCARE ASA AVD ÅLESUND,912413829,Keiser Wilhelmsgate 24,6003,ÅLESUND,,,1508,Ålesund,15,Møre og Romsdal
,NO18051950,N,HOGNABRYGG AS,916219784,Storburusjøveien 2,7387,SINGSÅS,,,5027,Midtre Gauldal,50,Trøndelag
,NO15051506,N,HOLLI MØLLE AS,978344593,Holli,1821,SPYDEBERG,69837600,69 83 76 57,3118,Indre Østfold,31,Østfold
,NO19052823,I,HOLMEN CRISP AS,972259896,Kveldsrovegen 32,2849,KAPP,61 16 91 00,61 16 98 35,3442,Østre Toten,34,Innlandet
,NO11050518,Q,HOLTEN TRANSPORT AS,971880627,Myggveien 26,9514,ALTA,78 43 30 22,,5601,Alta,56,Finnmark
,NO14051165,KN,HOLTERMANN SOLUTIONS AS,916393288,Lilleakerveien 2B,0283,OSLO,,,0301,Oslo kommune,03,Oslo
,NO12050936,Q,HOLVIK TRANSPORT & SPEDISJON AS,971817569,Odden,4876,GRIMSTAD,37040422,,4202,Grimstad,42,Agder
,NO26054239,K,HONNING.BUZZ/ THOMAS CIOSEK MALERARBEID,996680274,Årnesvegen 269,7819,FOSSLANDSOSEN,,,5007,Namsos,50,Trøndelag
,NO14051194,O,HONNINGCENTRALEN SA AVD KLØFTA,973098764,Dyrskuv. 20,2040,Kløfta,63 94 20 60,,3209,Ullensaker,32,Akershus
,NO25053879,I,HORTEN MIKROBRYGGERI AS,915175635,Storgata 20,3181,HORTEN,,,3901,Horten,39,Vestfold
,NO18052548,Q,HOVDA SKOG OG TRANSPORT AS,982776392,Hovdavegen 180,4130,HJELMELAND,,,1133,Hjelmeland,11,Rogaland
,NO18052633,O,HOVSLAGER LUKAS LUCAS KNAPEC,998897114,Haugerveien 25,1475,FINSTADJORDET,,,3222,Lørenskog,32,Akershus
,NO26054291,MNO,HP-MASKIN AS,937023723,Erikssæterveien 173,7398,RENNEBU,,,5022,Rennebu,50,Trøndelag
,NO25053801,R,HULLEBERG JON EINAR,926981064,Gjestvang Øvre,2350,NES PÅ HEDMARKEN,,,3411,Ringsaker,34,Innlandet
,NO20053145,M,HUND SOM HOBBY AS,972233048,Søbstadvegen 7,7088,HEIMDAL,,,5001,Trondheim,50,Trøndelag
,NO16051633,M,HUND SOM HOBBY DRIVE IN AS,996850641,Haakon VII's gate 12,7041,TRONDHEIM,,,5001,Trondheim,50,Trøndelag
,NO12050865,M,HUNDEKJØRER BUTIKKEN AS,993297577,Grundsetvegen 8,2406,ELVERUM,,,3420,Elverum,34,Innlandet
,NO10050385,MNO,HUNDESPORT OG FORSPESIALISTEN,972055077,Østre Rosten 4 A,7075,TILLER,,,5001,Trondheim,50,Trøndelag
A,NO10050075,CIJMOQ,HUNDSETH MØLLE AS,971709456,Storåsen,7750,NAMDALSEID,,,5007,Namsos,50,Trøndelag
,NO21053262,N,HURDALSJØEN HOTELL OG KONFERANSESENTER,972993328,Skredderbakkvegen 9,2090,HURDAL,63 98 78 00,,3242,Hurdal,32,Akershus
,NO13050988,MO,HURUM MØLLE AS,971709596,Mølleveien 29,3490,KLOKKARSTUA,,,3203,Asker,32,Akershus
,NO10050374,N,HUSDYR SYSTEMER AS,872271112,HØIETUN 28,4619,MOSBY,38118100,,3905,Tønsberg,39,Vestfold
,NO18052209,H,HUSEBY GÅRD AS,992027711,Sankt Hallvards vei 34,3414,LIERSTRANDA,,,3312,Lier,33,Buskerud
,NO21053224,PQ,HUSØY TERMINALEN AS,914528321,"Steiningholmen 30,",4280,SKUDENESHAVN,,,1149,Karmøy,11,Rogaland
,NO20053090,PQ,HUSØY TERMINALEN AS,914528321,Husøyvegen 135,4262,AVALDSNES,,,1149,Karmøy,11,Rogaland
,NO18052011,PQ,HUSØY TERMINALEN AS,914528321,Husøyvegen 131,4262,AVALDSNES,,,1149,Karmøy,11,Rogaland
,NO18052011,PQ,HUSØY TERMINALEN AS,914528321,Storasundvegen 89,4260,TORVASTAD,,,1149,Karmøy,11,Rogaland
,NO18052153,M,HUTH - IMPORT,922005133,Finlandsveien 22A,1816,SKIPTVET,,,3116,Skiptvet,31,Østfold
,NO16051662,P,HØGSET TERMINALEN AS,972048704,Høgset,6633,GJEMNES,,,1557,Gjemnes,15,Møre og Romsdal
,NO18052077,O,HØYFJELL CHAROLAIS AS,971612703,Bjørningstadveien 1,1617,FREDRIKSTAD,,,3107,Fredrikstad,31,Østfold
,NO11050454,NO,HØØK HESTESPORT AS,976336100,Furuveien 11,2020,SKEDSMOKORSET,,,3301,Drammen,33,Buskerud
,NO17051853,N,HÅA GÅRD,974036266,Håa gård,7607,LEVANGER,,,5037,Levanger,50,Trøndelag
,NO18052033,Q,HÅKON JOHAN FADUM TRANSPORT,987159146,Eventyrveien 5,3122,TØNSBERG,,,3905,Tønsberg,39,Vestfold
,NO19052955,Q,HÅKULL AS AVD SANDNES,973150464,Stokkamyrveien 22,4313,SANDNES,40010431,,1108,Sandnes,11,Rogaland
,NO18052130,M,HÅNDVERKRINGEN AS,919810181,Telegata 3,3674,NOTODDEN,,,4005,Notodden,40,Telemark
,NO26054386,MN,IBYGGSERVICE AS,820775422,Andersdalvegen 1010,9027,RAMFJORDBOTN,,,5501,Tromsø,55,Troms
,NO15051464,I,IDUN INDUSTRI AS AVD RAKKESTAD,973130153,Sagveien 4-6,1890,RAKKESTAD,69226530,69222468,3120,Rakkestad,31,Østfold
,NO18052246,K,I.E.E.LUTHER AS,925752703,Byveien 42,1350,LOMMEDALEN,,,3201,Bærum,32,Akershus
,NO18051997,K,IMCD,971764724,Innspurten 1B,0663,OSLO,23005200,,0301,Oslo kommune,03,Oslo
,NO11050640,Q,IMS KRAFTFOR OG GJØDSEL AS,972116815,Malmheim,4312,SANDNES,,,1108,Sandnes,11,Rogaland
,NO18052588,M,INDEX EIENDOM AS,974077949,Asser Jåttens vei 21,4020,STAVANGER,,,1103,Stavanger,11,Rogaland
,NO20053141,Q,INDRE AGDER TRANSPORT AS,986501657,Hornnes Næringspark,4737,HORNNES,,,4219,Evje og Hornnes,42,Agder
,NO18052270,M,INGAR MELBY,971888555,Dalsvegen 339,2940,HEGGENES,,,3453,Øystre Slidre,34,Innlandet
,NO22053382,M,INGER MARIE HATMOSØ,,Brennskagveien 76,6570,SMØLA,,,,,,
,NO15051482,Q,INGVALD TØNDEL,991523537,Sørgarden,7200,KYRKSÆTERØRA,,,5055,Heim,50,Trøndelag
,NO18052593,O,INTERFARM AS,973392468,Dølasletta 5,3408,TRANBY,67 58 11 30,,3312,Lier,33,Buskerud
,NO23053552,N,INTERHOOF AS,827903132,Hammaren 23,4056,TANANGER,,,1124,Sola,11,Rogaland
,NO23053532,I,INVERTAPRO AS,917912904,Dalsmoen 69,5709,VOSS,,,4621,Voss,46,Vestland
,NO18052213,M,IREN MICHELLE TORKAMANIPOUR,,Aspervegen 147,2040,KLØFTA,,,,,,
,NO13051072,Q,Isak D. Westgaard AS,971791764,Industrivegen 13,7502,STJØRDAL,,,5035,Stjørdal,50,Trøndelag
,NO22053351,P,ISBJØRN IS AS,971730293,Vestre Lindhaugen 1,5303,FOLLESE,56 15 25 00,56 15 25 25,4627,Askøy,46,Vestland
,NO20053126,I,IVAR DAVID ROGNE HELLE,919001925,Holmedalsvegen 457,6982,HOLMEDAL,,ivar.helle@hellemaskinservice.no,4645,Askvoll,46,Vestland
,NO11050754,Q,IVAR J SUNDGAARD,974484366,Bokkedalsveien 8,2390,MOELV,62368829,,3411,Ringsaker,34,Innlandet
,NO24053751,Q,IVARSON TRANSPORT AS,972012351,TOLLNES INDUSTRIOMRÅDET,4760,BIRKELAND,,,4216,Birkenes,42,Agder
,NO21053210,P,IVERSEN B SPEDISJON AS,972106054,Brøttemsvegen 819C,7540,KLÆBU,,,5001,Trondheim,50,Trøndelag
,NO23053540,Q,JAKHELLN ENTREPRENØR AS,977202175,Jølsenveien 26,2000,LILLESTRØM,,,3205,Lillestrøm,32,Akershus
,NO12050847,Q,JAN ARNE KNUTSEN,980375676,Rødrevvegen 19,7082,KATTEM,915 66 099,,5029,Skaun,50,Trøndelag
,NO18052424,N,JAN ERLING AURSTAD,978531407,Kjerkevegen 304,2040,KLØFTA,,,3209,Ullensaker,32,Akershus
,NO10050292,Q,JAN KARSTEN EGELAND TRANSPORT AS,982812682,Skjærpevegen 3,4342,UNDHEIM,,,1121,Time,11,Rogaland
,NO18052200,N,JAN KJELDSEN AS,972765007,Ånnerødvegen 139,3739,SKIEN,,,4003,Skien,40,Telemark
,NO18052406,N,JAN TORE RØNNINGEN,,GISLESJØVEGEN 15,3739,SKIEN,,,,,,
,NO17051929,O,JANNE METTE VALBERG,977307651,Frostavegen 2310,7633,FROSTA,,,5036,Frosta,50,Trøndelag
,NO19052879,M,JANPOL AS,991594833,Steinbrøttet 1,2022,GJERDRUM,,,3230,Gjerdrum,32,Akershus
,NO20053109,PQ,JANSEN K AS,972181390,Fugleskjærgata 12,6905,FLORØ,,,4602,Kinn,46,Vestland
,NO25053800,PQ,JANSEN K AS,972181390,Fugleskjærgata 12,6905,FLORØ,,,4602,Kinn,46,Vestland
,NO14051412,PQ,JANSEN K AS,972181390,Fugleskjærgata 12,6905,FLORØ,,,4602,Kinn,46,Vestland
,NO11050546,PQ,JANSEN K AS,972181390,Fugleskjærgata 12,6905,FLORØ,,,4602,Kinn,46,Vestland
,NO11050546,PQ,JANSEN K AS,972181390,FUGLESKJÆRKAIEN,6900,FLORØ,,,4602,Kinn,46,Vestland
,NO18052125,N,JARLE JOHAN MJØLNERØD HERREBRØDEN,972428256,Brødenveien 372,1763,HALDEN,,,3101,Halden,31,Østfold
,NO25053833,PQ,JAS WORLDWIDE NORWAY AS AVD BERGEN,977319447,"Jekteviken 7, skur 40",5006,BERGEN,55 21 40 40,55 21 40 44,4601,Bergen,46,Vestland
,NO25053833,PQ,JAS WORLDWIDE NORWAY AS AVD BERGEN,977319447,Tverrveien 7,5160,LAKSEVÅG,55 21 40 40,55 21 40 44,4601,Bergen,46,Vestland
,NO13050987,Q,JAS WORLDWIDE NORWAY AS AVD STRANDGATA MOSS,971605286,Strandgata 10,1531,MOSS,,,3103,Moss,31,Østfold
,NO21053289,M,JEM & FIX NORGE AS AVD LYSAKER,919771992,Strandveien 35,1366,LYSAKER,,,3201,Bærum,32,Akershus
,NO18052433,M,Jenny Basnes Aarbostad,921258941,Holleiaveien 263,3533,TYRISTRAND,,,3305,Ringerike,33,Buskerud
